id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
179982,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Reuters, 2010-06-01, ""UPDATE 2-Israel kills 5 Gaza militants",,,,"IDF sources, Palestinian medical sources",1,Beit Lahiya town,,Gaza Strip,Gaza ash Shamaliyah,31.546397,34.495142,POINT (34.495142 31.546397),175389,Israel,666,Middle East,1,1,06/01/2010 00:00:00,06/01/2010 00:00:00,0,3,0,0,3,3,3,
179983,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Reuters, 2010-07-21, ""UPDATE 1-Israeli shelling kills 2 Gaza militants, wounds 6 "", The Guardian, 2010-07-22, ""Israel shelling kills Palestinian 'militant' at Gaza border",,,,"Israeli spokesperson, militant group",2,Beit Hanoun town,,Gaza Strip,Gaza ash Shamaliyah,31.535298,34.535787,POINT (34.535787 31.535298),175390,Israel,666,Middle East,1,1,07/21/2010 00:00:00,07/21/2010 00:00:00,0,2,0,0,2,2,2,
179984,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xihua, 2010-09-27, ""Israeli airstrike on central Gaza kills three Palestinians",,,,"medical sources, witnesses",1,Al-Burayij refugee camp,,Gaza Strip,Deir al-Balah,31.439531,34.402939,POINT (34.402939 31.439531),174669,Israel,666,Middle East,1,1,09/27/2010 00:00:00,09/27/2010 00:00:00,0,3,0,0,3,3,3,
179985,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"BBC Monitoring, 2010-12-02, ""Israeli forces kill two Palestinian Islamic Jihad members - website",,,,"PIJ sources, website",2,Jabaliyah town,,Gaza Strip,Gaza ash Shamaliyah,31.527200,34.483471,POINT (34.483471 31.527200),175389,Israel,666,Middle East,1,1,12/02/2010 00:00:00,12/02/2010 00:00:00,0,2,0,0,2,2,2,
179986,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"BBC Monitoring, 2010-12-12, ""Israel issues official announcement on increasing attacks from Gaza "", CNN, 2010-12-11, ""2 Palestinian militants killed, 1 Israeli soldier hurt in Gaza clash",,,,IDF spokesperson,2,Kissufim crossing,,Southern district,Eshkol Regional Council,31.374167,34.399444,POINT (34.399444 31.374167),174669,Israel,666,Middle East,1,1,12/11/2010 00:00:00,12/11/2010 00:00:00,0,2,0,0,2,2,2,
179987,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Washington Post, 2010-12-19, ""Israeli airstrike kills 5 in Gaza Strip",,,,"militant groups, IDF spokesperson",1,Deir al-Balah town,,Gaza Strip,Deir al-Balah,31.417479,34.350140,POINT (34.350140 31.417479),174669,Israel,666,Middle East,1,1,12/18/2010 00:00:00,12/18/2010 00:00:00,0,5,0,0,5,5,5,
179988,,2010,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua, 2010-12-26, "" Two Gaza militants killed in clashes with Israeli army",,,,"militant groups, medical sources",2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,12/26/2010 00:00:00,12/26/2010 00:00:00,0,2,0,0,2,2,2,
179989,,2010,False,Clear,1,234,234,Israel: Palestine,481,481,Government of Israel - PRC,121,121,Government of Israel,212,212,PRC,-1,"BBC Monitoring, 2010-03-01, ""Israel shells northern Gaza Strip; kills Palestinian militant "", Reuters, 2010-03-01, ""UPDATE 1-Palestinians say Israeli fire kills Gaza gunman",,,,"medical sources, PRC sources",2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,03/01/2010 00:00:00,03/01/2010 00:00:00,0,1,0,0,1,1,1,
179990,,2010,False,Clear,1,234,234,Israel: Palestine,481,481,Government of Israel - PRC,121,121,Government of Israel,212,212,PRC,-1,"BBC Monitoring, 2010-06-01, ""Israeli troops kill ""terrorists"" who crossed Gaza security fence - website "", Reuters, 2010-06-01, ""UPDATE 2-Israel kills 5 Gaza militants",,,,Maariv website,3,Eshkol Regional Council,,Southern district,Eshkol Regional Council,31.374167,34.399444,POINT (34.399444 31.374167),174669,Israel,666,Middle East,1,1,06/01/2010 00:00:00,06/01/2010 00:00:00,0,2,0,0,2,2,2,
179991,,2010,False,Clear,1,234,234,Israel: Palestine,481,481,Government of Israel - PRC,121,121,Government of Israel,212,212,PRC,-1,"Reuters, 2010-12-28, ""Israeli troops kill militant near Gaza border",,,,"Israeli army, Palestinian medical sources",5,Gaza/Israel border,,,,31.421728,34.417656,POINT (34.417656 31.421728),174669,Israel,666,Middle East,1,1,12/28/2010 00:00:00,12/28/2010 00:00:00,0,1,0,0,1,1,1,
179992,,2010,False,Clear,1,234,234,Israel: Palestine,474,474,Government of Israel - PFLP,121,121,Government of Israel,205,205,PFLP,-1,"Reuters, 2010-06-28, ""UPDATE 2-Israeli air strike kills Gaza militant "", BBC Monitoring, 2010-06-28, ""Palestinian armed group mourns Israel's killing of member in Gaza, vows revenge",,,,"Israeli spokesperson, PFLP sources",2,Jabaliyah refugee camp,,Gaza Strip,Gaza ash Shamaliyah,31.536390,34.494541,POINT (34.494541 31.536390),175389,Israel,666,Middle East,1,1,06/28/2010 00:00:00,06/28/2010 00:00:00,0,1,0,0,1,1,1,
179995,,2010,False,Clear,1,234,234,Israel: Palestine,476,476,Government of Israel - Fatah,121,121,Government of Israel,207,207,Fatah,-1,"Reuters, 2010-06-07, ""UPDATE 3-Israeli patrol kills 4 militants in diving gear "", BBC News, 2010-06-07, ""Israel navy kills four Palestinian militants off Gaza",,,,Israeli naval forces,3,Gaza,,Gaza Strip,Gaza,31.425000,34.373398,POINT (34.373398 31.425000),174669,Israel,666,Middle East,1,1,06/07/2010 00:00:00,06/07/2010 00:00:00,0,4,0,0,4,5,4,
179996,,2010,False,Clear,1,234,234,Israel: Palestine,476,476,Government of Israel - Fatah,121,121,Government of Israel,207,207,Fatah,-1,"BBC Monitoring, 2010-02-10, ""Israeli man stabbed to death by Palestinian in West Bank - paper "", BBC Monitoring, 2010-02-12, ""Fatah wing claims killing of Israeli soldier, says score not settled "", Reuters, 2010-02-12, ""UPDATE 1-Israeli troops kill Palestinian in West Bank",,,,"Medical sources, police, AMB sources",2,Kfar Tapuach town,,West Bank,,32.118056,35.250000,POINT (35.250000 32.118056),176111,Israel,666,Middle East,1,1,02/10/2010 00:00:00,02/10/2010 00:00:00,1,0,0,0,1,1,1,
180012,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Xinhua News Agency, 2011-01-07, Israeli army kills one Palestinian, arrests Hamas members",,,,Palestinian security sources,1,Hebron town,,West Bank,Hebron,31.529349,35.093796,POINT (35.093796 31.529349),175391,Israel,666,Middle East,1,1,01/07/2011 00:00:00,01/07/2011 00:00:00,0,1,0,0,1,1,1,
180013,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2011-03-16, Two militants killed in Israeli strike on Gaza",,,,"Medics, israeli army",1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,03/16/2011 00:00:00,03/16/2011 00:00:00,0,2,0,0,2,2,2,
180014,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-07, Israeli aircraft, tanks attack Hamas installations in Gaza Strip, Palestinian killed, 16 wounded in Israeli attacks on Gaza - TV",,,,Palestinian sources,1,Beit Lahiya town,,Gaza Strip,Gaza ash Shamaliyah,31.546397,34.495142,POINT (34.495142 31.546397),175389,Israel,666,Middle East,1,1,04/07/2011 00:00:00,04/07/2011 00:00:00,0,0,1,0,1,1,1,
180015,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC News, 2011-04-09, Gaza: Israel kills 12 amid cross-border exchanges, http://www.bbc.co.uk/news/world-middle-east-13014046",,,,BBC,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,2,2,04/07/2011 00:00:00,04/09/2011 00:00:00,0,4,0,0,4,4,4,
180016,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-07, Israeli shelling kills fourth Palestinian in southern Gaza",,,,Hamas-run Al-Aqsa Satellite Channel Television,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,04/07/2011 00:00:00,04/07/2011 00:00:00,0,0,0,1,1,1,1,
180017,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-09, Gazan killed, another seriously injured in Israeli shelling - Palestinian source; Xinhua News Agency, 2011-04-09, Roundup: PNA to apply to UNSC as conflict with Israel goes on",,,,Palestinian Information Centre,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,04/09/2011 00:00:00,04/09/2011 00:00:00,0,1,0,0,1,1,1,
180018,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-08, No casualties as Israeli council targeted by mortar fire, 10 Palestinians killed",,,,"Sources in the Gaza/Voice of Israel, Jerusalem",3,Rafah,,Gaza Strip,Rafah,31.287004,34.231076,POINT (34.231076 31.287004),174669,Israel,666,Middle East,1,1,04/08/2011 00:00:00,04/08/2011 00:00:00,0,0,2,0,2,2,2,
180019,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-08, No casualties as Israeli council targeted by mortar fire, 10 Palestinians killed",,,,"Sources in the Gaza/Voice of Israel, Jerusalem",2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,04/08/2011 00:00:00,04/08/2011 00:00:00,0,0,1,0,1,1,1,
180020,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"BBC Monitoring Middle East, 2011-04-08, No casualties as Israeli council targeted by mortar fire, 10 Palestinians killed",,,,"Sources in the Gaza/Voice of Israel, Jerusalem",2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,04/08/2011 00:00:00,04/08/2011 00:00:00,0,2,0,0,2,2,2,
180021,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Xinhua News Agency, 2011-04-09, Roundup: PNA to apply to UNSC as conflict with Israel goes on",,,,Xinhua News Agency?,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,04/09/2011 00:00:00,04/09/2011 00:00:00,0,2,0,0,2,2,2,
180023,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Xinhua News Agency, 2011-04-11, Roundup: Shaky Israeli-Palestinian ceasefire enters second day",,,,Gaza sources,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,2,2,04/07/2011 00:00:00,04/10/2011 00:00:00,0,0,0,0,0,1,0,
180024,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-08-20, Roundup: Israel continues to strike Gaza targets after deadly Palestinian militant attacks",,,,Xinhua News Agency,1,Al-Burayij refugee camp,,Gaza Strip,Deir al-Balah,31.439531,34.402939,POINT (34.402939 31.439531),174669,Israel,666,Middle East,1,1,08/19/2011 00:00:00,08/19/2011 00:00:00,0,1,0,0,1,1,1,
180025,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2011-08-16, Israeli troops kill Palestinian after deadly air strikes",,,,"Hamas's armed wing, the Ezzedine al-Qassam Brigades",1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,2,08/15/2011 00:00:00,08/16/2011 00:00:00,0,1,0,0,1,1,1,
180026,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Associated Press Newswires, 2011-12-08,  Israeli airstrike kills 2 suspected militants riding in car in Gaza",,,,Hamas,1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,12/08/2011 00:00:00,12/08/2011 00:00:00,0,2,0,0,2,2,2,
180027,,2011,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Xinhua News Agency, 2011-12-09, Roundup: PNA, Hamas leaders hold Israel responsible for Gaza violence",,,,Xinhua News Agency?,1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,12/09/2011 00:00:00,12/09/2011 00:00:00,0,0,2,0,2,2,2,
180028,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"BBC Monitoring Middle East, 2011-01-11, Palestinian group warns of retaliation for Gaza ""assassination",,,,Unidentified PIC correspondent,1,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,01/11/2011 00:00:00,01/11/2011 00:00:00,0,1,0,0,1,1,1,
180029,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"BBC Monitoring Middle East, 2011-02-24, Palestinian militant dies from Israel bombing wounds",,,,The Palestinian Information Centre,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,1,1,02/23/2011 00:00:00,02/23/2011 00:00:00,0,1,0,0,1,1,1,
180030,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-02-28, Roundup: Hamas accuses Israel of escalation as fragile ceasefire on edge of collapse",,,,Islamic Hamas movement,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,2,2,02/25/2011 00:00:00,02/27/2011 00:00:00,0,2,0,0,2,2,2,
180031,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Agence France Presse, 2011-03-27, Israel strike kills 2 in Gaza after call for calm",,,,Al-Quds Brigade,2,Jabaliyah town,,Gaza Strip,Gaza ash Shamaliyah,31.527200,34.483471,POINT (34.483471 31.527200),175389,Israel,666,Middle East,1,1,03/27/2011 00:00:00,03/27/2011 00:00:00,0,2,0,0,2,2,2,
180032,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"BBC Monitoring Middle East, 2011-03-23, Israeli army source says three innocent Palestinians killed by stray shell;Xinhua News Agency, Abbas, 2011-03-23, Fayyad condemn bombing attack in Jerusalem; BBC Monitoring Middle East, 2011-03-23, Palestinian president, premier condemn Jerusalem bus blast; Xinhua News Agency, 2011-03-23, News Analysis: Jerusalem bombing's effect on Israeli policy obscure:analysts; Reuters News, 2011-03-24, ANALYSIS-Surge in violence ""arose from Hamas internal row",,,,A military source,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,1,1,03/22/2011 00:00:00,03/22/2011 00:00:00,0,4,3,0,7,7,7,
180033,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Reuters News, 2011-03-20, UPDATE 1-Israeli air strike kills Gaza gunman on motorbike",,,,Al-Quds Brigade,5,road between Khan Younis and Rafah,,Gaza Strip,,31.311553,34.282682,POINT (34.282682 31.311553),174669,Israel,666,Middle East,1,1,03/30/2011 00:00:00,03/30/2011 00:00:00,0,0,0,1,1,1,1,
180035,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-08-25, 1st LD: Israeli airstrike hits Gaza club, kills 1",,,,Xinhua News Agency,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,08/24/2011 00:00:00,08/24/2011 00:00:00,0,1,0,0,1,1,1,
180036,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Associated Press Newswires, 2011-10-29, Israeli airstrikes kill 9 militants in Gaza, Palestinian rockets kill 1 Israeli, wound 4",,,,Israeli police spokesman,1,Ashkelon town,,Southern district,Ashkelon,31.666667,34.566667,POINT (34.566667 31.666667),175390,Israel,666,Middle East,1,1,10/29/2011 00:00:00,10/29/2011 00:00:00,0,0,1,0,1,1,1,
180037,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-08-25, 1st LD: Israeli airstrike hits Gaza club, kills 1",,,,Witnesses and medical sources,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,08/25/2011 00:00:00,08/25/2011 00:00:00,0,0,0,1,1,1,1,
180038,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-09-07, 1st LD: Israeli air strike kills one Gaza militant",,,,Witnesses and medical sources,1,Deir al-Balah town,,Gaza Strip,Deir al-Balah,31.417479,34.350140,POINT (34.350140 31.417479),174669,Israel,666,Middle East,1,1,09/07/2011 00:00:00,09/07/2011 00:00:00,0,1,0,0,1,1,1,
180039,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-10-29, 2nd LD-Writethru: Israeli jets raid Rafah in southern Gaza Strip, two Palestinians killed",,,,Medics and witnesses,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,10/29/2011 00:00:00,10/29/2011 00:00:00,0,2,0,0,2,2,2,
180040,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-10-29, 2nd LD-Writethru: Israeli jets raid Rafah in southern Gaza Strip, two Palestinians killed",,,,Medics and witnesses,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,10/29/2011 00:00:00,10/29/2011 00:00:00,0,5,0,0,5,5,5,
180041,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-11-05, Israeli airstrike on southern Gaza kills one, wounds 2: Medics",,,,Medics,1,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,11/05/2011 00:00:00,11/05/2011 00:00:00,0,0,0,1,1,1,1,
180043,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Associated Press Newswires, 2011-12-08,  Israeli airstrike kills 2 suspected militants riding in car in Gaza",,,,AP,2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,12/07/2011 00:00:00,12/07/2011 00:00:00,0,0,0,1,1,1,1,
180044,,2011,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Xinhua News Agency, 2011-12-27, Israeli airstrike on motorcycle kills Gaza militant, Xinhua News Agency, 2011-12-28, Israeli army chief says second Gaza foray against Hamas inevitable",,,,Medics and witnesses,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,12/27/2011 00:00:00,12/27/2011 00:00:00,0,1,0,0,1,3,1,
180045,,2011,False,Clear,1,234,234,Israel: Palestine,481,481,Government of Israel - PRC,121,121,Government of Israel,212,212,PRC,-1,"Xinhua News Agency, 2011-08-18, 2nd LD: Five Palestinians killed in Israeli airstrike, BBC Monitoring Middle East, 2011-08-20,Israel continues air strikes on Gaza",,,,Israeli reports,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,2,08/18/2011 00:00:00,08/19/2011 00:00:00,0,5,1,0,6,7,6,
180047,,2011,False,Clear,1,234,234,Israel: Palestine,481,481,Government of Israel - PRC,121,121,Government of Israel,212,212,PRC,-1,"Xinhua News Agency, 2011-08-18, 2nd LD: Five Palestinians killed in Israeli airstrike; Xinhua News Agency,v 2011-08-19, Israeli military displays gear used by militants in combined attacks",,,,Israeli reports,2,Eilat town,,Southern district,Eilat,29.550000,34.950000,POINT (34.950000 29.550000),172510,Israel,666,Middle East,1,1,08/18/2011 00:00:00,08/18/2011 00:00:00,2,2,6,0,10,10,10,
180073,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-09-24, Gaza strikes kill 4 militants as 68 rockets hit Israel",,,,Medics,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,10/23/2012 00:00:00,10/23/2012 00:00:00,0,1,0,0,1,1,1,
180078,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-11-15, 11 killed, 100 hurt as Israel pounds Gaza /Agence France Presse, 2012-11-15, Gaza death toll hits 13 as rockets kill 3 Israelis",,,,Medics,2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,11/15/2012 00:00:00,11/15/2012 00:00:00,0,3,0,0,3,3,3,
180079,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-01-18, Israel raid kills one, wounds two in Gaza: medics/// OCHA list 2012,  http://www.ochaopt.org/poc.aspx",,,,A spokesman for the Hamas-run emergency services /OCHA,2,Beit Hanoun town,,Gaza Strip,Gaza ash Shamaliyah,31.535298,34.535787,POINT (34.535787 31.535298),175390,Israel,666,Middle East,1,1,01/18/2012 00:00:00,01/18/2012 00:00:00,0,1,0,0,1,2,1,
180080,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-06-19, Israel air strike hurts 2 Gazans, Hamas fires rockets",,,,Ezzedine al-Qassam Brigades,2,Beit Hanoun town,,Gaza Strip,Gaza ash Shamaliyah,31.535298,34.535787,POINT (34.535787 31.535298),175390,Israel,666,Middle East,1,1,06/18/2012 00:00:00,06/18/2012 00:00:00,0,1,0,0,1,1,1,
180081,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-09-20, Israeli strike on Gaza kills 2 Hamas border guards",,,,Hamas/Israeli army,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,09/19/2012 00:00:00,09/19/2012 00:00:00,0,2,0,0,2,2,2,
180082,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-09-24, Gaza border bomb wounds Israeli soldier: military",,,,Hamas,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,10/23/2012 00:00:00,10/23/2012 00:00:00,0,2,0,0,2,2,2,
180083,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Agence France Presse, 2012-09-28, Israeli airstrike kills Gaza militant :Palestinian medics",,,,Palestinian medics and eyewitnesses,2,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,10/28/2012 00:00:00,10/28/2012 00:00:00,0,1,0,0,1,1,1,
180084,,2012,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"CNN Wire, 2012-11-15,  Hundreds of strikes across Gaza border stoke fears of ground war",,,,Dr. Asraf el-Qdra of Medical Aid for Palestinians,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,1,1,11/15/2012 00:00:00,11/15/2012 00:00:00,0,6,0,0,6,6,6,
180085,,2012,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,-1,"Agence France Presse, 2012-03-10, Israeli air strikes kill 14 in Gaza",,,,Al-Quds Brigades,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,2,2,03/09/2012 00:00:00,03/10/2012 00:00:00,0,10,0,0,10,10,10,
